"Figure 6: Unemployment rates have levelled off over the last year, following a period of decreasing rates",""
"UK unemployment rates (aged 16 years and over), seasonally adjusted, between January to March 1971 and March to May 2020",""
"",""
"Notes",""
"Unit","Percentage of economically active"
"",""
"Period","People","Men","Women"
"Sep-Nov 2003","4.910","5.414","4.312"
"Oct-Dec 2003","4.896","5.438","4.253"
"Nov-Jan 2004","4.831","5.327","4.243"
"Dec-Feb 2004","4.807","5.258","4.273"
"Jan-Mar 2004","4.798","5.183","4.341"
"Feb-Apr 2004","4.810","5.187","4.362"
"Mar-May 2004","4.798","5.098","4.443"
"Apr-Jun 2004","4.805","5.185","4.356"
"May-Jul 2004","4.761","5.119","4.338"
"Jun-Aug 2004","4.701","5.091","4.238"
"Jul-Sep 2004","4.684","5.011","4.295"
"Aug-Oct 2004","4.665","4.950","4.327"
"Sep-Nov 2004","4.684","5.084","4.210"
"Oct-Dec 2004","4.729","5.121","4.265"
"Nov-Jan 2005","4.727","5.131","4.249"
"Dec-Feb 2005","4.784","5.148","4.355"
"Jan-Mar 2005","4.689","5.088","4.219"
"Feb-Apr 2005","4.704","5.083","4.257"
"Mar-May 2005","4.751","5.121","4.316"
"Apr-Jun 2005","4.754","5.084","4.364"
"May-Jul 2005","4.702","5.098","4.235"
"Jun-Aug 2005","4.683","5.134","4.152"
"Jul-Sep 2005","4.732","5.133","4.261"
"Aug-Oct 2005","4.932","5.371","4.415"
"Sep-Nov 2005","5.055","5.476","4.558"
"Oct-Dec 2005","5.146","5.598","4.613"
"Nov-Jan 2006","5.087","5.395","4.724"
"Dec-Feb 2006","5.181","5.516","4.788"
"Jan-Mar 2006","5.234","5.623","4.778"
"Feb-Apr 2006","5.316","5.695","4.870"
"Mar-May 2006","5.416","5.819","4.943"
"Apr-Jun 2006","5.472","5.830","5.053"
"May-Jul 2006","5.506","5.839","5.114"
"Jun-Aug 2006","5.467","5.778","5.102"
"Jul-Sep 2006","5.484","5.831","5.075"
"Aug-Oct 2006","5.476","5.831","5.057"
"Sep-Nov 2006","5.420","5.695","5.096"
"Oct-Dec 2006","5.501","5.798","5.151"
"Nov-Jan 2007","5.510","5.782","5.189"
"Dec-Feb 2007","5.530","5.824","5.182"
"Jan-Mar 2007","5.514","5.801","5.174"
"Feb-Apr 2007","5.472","5.778","5.112"
"Mar-May 2007","5.389","5.671","5.056"
"Apr-Jun 2007","5.350","5.605","5.049"
"May-Jul 2007","5.306","5.570","4.995"
"Jun-Aug 2007","5.302","5.556","5.002"
"Jul-Sep 2007","5.310","5.558","5.018"
"Aug-Oct 2007","5.239","5.455","4.985"
"Sep-Nov 2007","5.239","5.472","4.965"
"Oct-Dec 2007","5.157","5.392","4.880"
"Nov-Jan 2008","5.177","5.480","4.821"
"Dec-Feb 2008","5.181","5.512","4.792"
"Jan-Mar 2008","5.183","5.517","4.788"
"Feb-Apr 2008","5.314","5.568","5.015"
"Mar-May 2008","5.179","5.521","4.775"
"Apr-Jun 2008","5.350","5.758","4.870"
"May-Jul 2008","5.487","5.930","4.965"
"Jun-Aug 2008","5.710","6.174","5.164"
"Jul-Sep 2008","5.855","6.330","5.297"
"Aug-Oct 2008","5.968","6.482","5.365"
"Sep-Nov 2008","6.163","6.734","5.490"
"Oct-Dec 2008","6.353","6.983","5.610"
"Nov-Jan 2009","6.511","7.168","5.738"
"Dec-Feb 2009","6.744","7.457","5.906"
"Jan-Mar 2009","7.072","7.833","6.177"
"Feb-Apr 2009","7.274","8.105","6.297"
"Mar-May 2009","7.590","8.518","6.502"
"Apr-Jun 2009","7.764","8.763","6.594"
"May-Jul 2009","7.868","8.955","6.596"
"Jun-Aug 2009","7.870","9.003","6.547"
"Jul-Sep 2009","7.847","8.969","6.542"
"Aug-Oct 2009","7.868","8.973","6.584"
"Sep-Nov 2009","7.781","8.832","6.563"
"Oct-Dec 2009","7.773","8.774","6.615"
"Nov-Jan 2010","7.729","8.820","6.467"
"Dec-Feb 2010","7.920","8.971","6.701"
"Jan-Mar 2010","8.010","9.106","6.738"
"Feb-Apr 2010","7.952","8.994","6.745"
"Mar-May 2010","7.923","8.822","6.880"
"Apr-Jun 2010","7.852","8.672","6.901"
"May-Jul 2010","7.820","8.509","7.021"
"Jun-Aug 2010","7.782","8.419","7.043"
"Jul-Sep 2010","7.755","8.360","7.050"
"Aug-Oct 2010","7.897","8.502","7.193"
"Sep-Nov 2010","7.871","8.588","7.035"
"Oct-Dec 2010","7.863","8.502","7.119"
"Nov-Jan 2011","7.909","8.544","7.167"
"Dec-Feb 2011","7.803","8.421","7.084"
"Jan-Mar 2011","7.778","8.386","7.076"
"Feb-Apr 2011","7.717","8.315","7.020"
"Mar-May 2011","7.822","8.397","7.154"
"Apr-Jun 2011","7.940","8.501","7.288"
"May-Jul 2011","8.013","8.557","7.382"
"Jun-Aug 2011","8.181","8.805","7.459"
"Jul-Sep 2011","8.333","9.010","7.550"
"Aug-Oct 2011","8.372","9.001","7.644"
"Sep-Nov 2011","8.467","9.074","7.765"
"Oct-Dec 2011","8.394","8.992","7.703"
"Nov-Jan 2012","8.352","8.912","7.706"
"Dec-Feb 2012","8.289","8.779","7.720"
"Jan-Mar 2012","8.210","8.717","7.624"
"Feb-Apr 2012","8.174","8.661","7.609"
"Mar-May 2012","8.080","8.570","7.512"
"Apr-Jun 2012","7.992","8.441","7.469"
"May-Jul 2012","8.038","8.524","7.476"
"Jun-Aug 2012","7.890","8.336","7.373"
"Jul-Sep 2012","7.860","8.255","7.402"
"Aug-Oct 2012","7.852","8.258","7.380"
"Sep-Nov 2012","7.820","8.173","7.412"
"Oct-Dec 2012","7.814","8.176","7.396"
"Nov-Jan 2013","7.822","8.265","7.312"
"Dec-Feb 2013","7.976","8.357","7.538"
"Jan-Mar 2013","7.845","8.301","7.321"
"Feb-Apr 2013","7.792","8.218","7.304"
"Mar-May 2013","7.758","8.254","7.188"
"Apr-Jun 2013","7.748","8.271","7.146"
"May-Jul 2013","7.671","8.176","7.090"
"Jun-Aug 2013","7.698","8.146","7.181"
"Jul-Sep 2013","7.618","7.954","7.231"
"Aug-Oct 2013","7.369","7.725","6.960"
"Sep-Nov 2013","7.170","7.507","6.781"
"Oct-Dec 2013","7.221","7.571","6.818"
"Nov-Jan 2014","7.162","7.387","6.904"
"Dec-Feb 2014","6.889","7.209","6.523"
"Jan-Mar 2014","6.755","7.033","6.435"
"Feb-Apr 2014","6.588","6.880","6.254"
"Mar-May 2014","6.428","6.617","6.213"
"Apr-Jun 2014","6.289","6.519","6.027"
"May-Jul 2014","6.143","6.406","5.843"
"Jun-Aug 2014","6.019","6.274","5.727"
"Jul-Sep 2014","5.981","6.217","5.711"
"Aug-Oct 2014","5.955","6.211","5.663"
"Sep-Nov 2014","5.871","6.122","5.584"
"Oct-Dec 2014","5.699","5.956","5.406"
"Nov-Jan 2015","5.655","5.856","5.425"
"Dec-Feb 2015","5.583","5.772","5.367"
"Jan-Mar 2015","5.536","5.710","5.338"
"Feb-Apr 2015","5.504","5.738","5.237"
"Mar-May 2015","5.617","5.756","5.460"
"Apr-Jun 2015","5.609","5.778","5.416"
"May-Jul 2015","5.519","5.620","5.404"
"Jun-Aug 2015","5.392","5.540","5.223"
"Jul-Sep 2015","5.319","5.454","5.166"
"Aug-Oct 2015","5.174","5.290","5.042"
"Sep-Nov 2015","5.081","5.211","4.933"
"Oct-Dec 2015","5.079","5.190","4.952"
"Nov-Jan 2016","5.069","5.195","4.925"
"Dec-Feb 2016","5.113","5.248","4.959"
"Jan-Mar 2016","5.071","5.148","4.982"
"Feb-Apr 2016","5.007","5.044","4.965"
"Mar-May 2016","4.939","5.053","4.809"
"Apr-Jun 2016","4.921","5.004","4.827"
"May-Jul 2016","4.894","5.074","4.687"
"Jun-Aug 2016","4.983","5.042","4.916"
"Jul-Sep 2016","4.839","4.963","4.697"
